Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
0,-1,0,0.0,1.9948920508778798,P. Dam,born,none
1,-1,1,0.0,1.28137718652108,Cup Coral,born,none
2,-1,2,0.0,8.861910797584239,P. Dam,born,none
3,-1,3,0.0,0.7205376484547998,P. Dam,born,none
4,-1,4,0.0,4.04961822227072,P. Dam,born,none
5,-1,5,0.0,0.98304931803804,P. Dam,born,none
6,-1,6,0.0,46.395601776391125,P. Dam,born,none
7,-1,7,0.0,1.3251993592926,P. Dam,born,none
