Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2,1,-1,50.30837350875569,0.0,P. Dam,dead,none
0,0,0,100.81991787683113,149.42355264177954,P. Dam,grow,none
7,2,2,81.59903464005869,133.88110564407341,P. Dam,grow,none
6,3,1,269.44194446196735,234.1125096891031,P. Dam,shrink,none
