Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
0,0,0,16.794738962997304,75.12551323656193,P. Dam,grow,none
1,1,3,3.64045096407465,5.90894851903488,Cup Coral,grow,none
2,2,2,33.34459050889696,69.34453179236353,P. Dam,grow,none
7,3,1,17.300318033056413,56.7250652289024,P. Dam,grow,none
6,4,4,109.53430796700002,217.78170106429442,P. Dam,grow,none
